,trialNum,numStrokes,repetition,gameID,target,condition,generalization,outcome,bis
0,1,1.3090538783010413,0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_07,repeated,between,-1.2909917820746473,-2.6000456603756885
1,2,-0.6393053824260899,0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_04,control,between,0.7745950692447884,1.4139004516708784
2,3,1.3090538783010413,0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_00,repeated,between,0.7745950692447884,-0.5344588090562529
3,4,0.8219640631192584,0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,repeated,between,0.7745950692447884,-0.04736899387447002
4,5,-0.6393053824260899,0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,repeated,between,0.7745950692447884,1.4139004516708784
5,6,-0.6393053824260899,0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_01,control,between,0.7745950692447884,1.4139004516708784
6,7,-0.6393053824260899,0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_06,control,between,-1.2909917820746473,-0.6516863996485573
7,8,-1.1263951976078725,0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_02,control,between,-1.2909917820746473,-0.16459658446677472
8,33,0.8219640631192584,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_07,repeated,between,-1.2909917820746473,-2.1129558451939054
9,34,1.7961436934828239,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_00,repeated,between,-1.2909917820746473,-3.087135475557471
10,35,-1.1263951976078725,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,repeated,between,0.7745950692447884,1.900990266852661
11,36,-0.6393053824260899,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_02,control,between,0.7745950692447884,1.4139004516708784
12,37,-0.1522155672443071,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_06,control,between,0.7745950692447884,0.9268106364890955
13,38,1.3090538783010413,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,repeated,between,-1.2909917820746473,-2.6000456603756885
14,39,-1.1263951976078725,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_04,control,between,0.7745950692447884,1.900990266852661
15,40,-0.6393053824260899,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_01,control,between,0.7745950692447884,1.4139004516708784
16,1,0.5940882904919801,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_02,repeated,between,0.258197823084901,-0.33589046740707906
17,2,0.5940882904919801,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_06,control,between,0.258197823084901,-0.33589046740707906
18,3,-0.19802943016399338,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_05,control,between,0.258197823084901,0.4562272532488944
19,4,-0.5940882904919801,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,repeated,between,0.258197823084901,0.8522861135768811
